[2025-08-07 14:19:28] Shell.ssd_write()              : read 10, content 0x9DB1F567, for_script is True
[2025-08-07 14:19:29] Shell.ssd_write()              : [Write] Done - 10, 0x9DB1F567
[2025-08-07 14:19:29] Shell.ssd_write()              : read 11, content 0xA1793F6A, for_script is True
[2025-08-07 14:19:29] Shell.ssd_write()              : [Write] Done - 11, 0xA1793F6A
[2025-08-07 14:19:29] Shell.ssd_read()               : read 7, for_script is True
[2025-08-07 14:19:29] Shell.read_output()            : function executed
[2025-08-07 14:19:29] Shell.read_output()            : {'0': '0xE1B70F62'}
[2025-08-07 14:19:29] Shell.ssd_read()               : [Read] LBA 7 : 0xE1B70F62
[2025-08-07 14:19:29] Shell.ssd_read()               : read 8, for_script is True
[2025-08-07 14:19:29] Shell.read_output()            : function executed
[2025-08-07 14:19:29] Shell.read_output()            : {'0': '0xF501CF63'}
[2025-08-07 14:19:29] Shell.ssd_read()               : [Read] LBA 8 : 0xF501CF63
[2025-08-07 14:19:29] Shell.ssd_read()               : read 9, for_script is True
[2025-08-07 14:19:29] Shell.read_output()            : function executed
[2025-08-07 14:19:29] Shell.read_output()            : {'0': '0x83C6C365'}
[2025-08-07 14:19:29] Shell.ssd_read()               : [Read] LBA 9 : 0x83C6C365
[2025-08-07 14:19:29] Shell.ssd_read()               : read 10, for_script is True
[2025-08-07 14:19:29] Shell.read_output()            : function executed
[2025-08-07 14:19:29] Shell.read_output()            : {'0': '0x9DB1F567'}
[2025-08-07 14:19:29] Shell.ssd_read()               : [Read] LBA 10 : 0x9DB1F567
[2025-08-07 14:19:29] Shell.ssd_read()               : read 11, for_script is True
[2025-08-07 14:19:29] Shell.read_output()            : function executed
[2025-08-07 14:19:29] Shell.read_output()            : {'0': '0xA1793F6A'}
[2025-08-07 14:19:29] Shell.ssd_read()               : [Read] LBA 11 : 0xA1793F6A
[2025-08-07 14:19:29] Shell.ssd_write()              : read 8, content 0x97AC7199, for_script is True
[2025-08-07 14:19:29] Shell.ssd_write()              : [Write] Done - 8, 0x97AC7199
[2025-08-07 14:19:29] Shell.ssd_write()              : read 9, content 0xC36BDD9A, for_script is True
[2025-08-07 14:19:29] Shell.ssd_write()              : [Write] Done - 9, 0xC36BDD9A
[2025-08-07 14:19:29] Shell.ssd_write()              : read 10, content 0xBD2BF99B, for_script is True
[2025-08-07 14:19:29] Shell.ssd_write()              : [Write] Done - 10, 0xBD2BF99B
[2025-08-07 14:19:29] Shell.ssd_write()              : read 11, content 0x2EFCE99E, for_script is True
[2025-08-07 14:19:29] Shell.ssd_write()              : [Write] Done - 11, 0x2EFCE99E
[2025-08-07 14:19:29] Shell.ssd_write()              : read 12, content 0x8A42E5A6, for_script is True
[2025-08-07 14:19:30] Shell.ssd_write()              : [Write] Done - 12, 0x8A42E5A6
[2025-08-07 14:19:30] Shell.ssd_read()               : read 8, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0x97AC7199'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 8 : 0x97AC7199
[2025-08-07 14:19:30] Shell.ssd_read()               : read 9, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0xC36BDD9A'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 9 : 0xC36BDD9A
[2025-08-07 14:19:30] Shell.ssd_read()               : read 10, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0xBD2BF99B'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 10 : 0xBD2BF99B
[2025-08-07 14:19:30] Shell.ssd_read()               : read 11, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0x2EFCE99E'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 11 : 0x2EFCE99E
[2025-08-07 14:19:30] Shell.ssd_read()               : read 12, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0x8A42E5A6'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 12 : 0x8A42E5A6
[2025-08-07 14:19:30] Shell.ssd_write()              : read 9, content 0x1AABABB9, for_script is True
[2025-08-07 14:19:30] Shell.ssd_write()              : [Write] Done - 9, 0x1AABABB9
[2025-08-07 14:19:30] Shell.ssd_write()              : read 10, content 0x7DC2C1BC, for_script is True
[2025-08-07 14:19:30] Shell.ssd_write()              : [Write] Done - 10, 0x7DC2C1BC
[2025-08-07 14:19:30] Shell.ssd_write()              : read 11, content 0x40D115C5, for_script is True
[2025-08-07 14:19:30] Shell.ssd_write()              : [Write] Done - 11, 0x40D115C5
[2025-08-07 14:19:30] Shell.ssd_write()              : read 12, content 0x6304DBCA, for_script is True
[2025-08-07 14:19:30] Shell.ssd_write()              : [Write] Done - 12, 0x6304DBCA
[2025-08-07 14:19:30] Shell.ssd_write()              : read 13, content 0xE5D75DCD, for_script is True
[2025-08-07 14:19:30] Shell.ssd_write()              : [Write] Done - 13, 0xE5D75DCD
[2025-08-07 14:19:30] Shell.ssd_read()               : read 9, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0x1AABABB9'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 9 : 0x1AABABB9
[2025-08-07 14:19:30] Shell.ssd_read()               : read 10, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0x7DC2C1BC'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 10 : 0x7DC2C1BC
[2025-08-07 14:19:30] Shell.ssd_read()               : read 11, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0x40D115C5'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 11 : 0x40D115C5
[2025-08-07 14:19:30] Shell.ssd_read()               : read 12, for_script is True
[2025-08-07 14:19:30] Shell.read_output()            : function executed
[2025-08-07 14:19:30] Shell.read_output()            : {'0': '0x6304DBCA'}
[2025-08-07 14:19:30] Shell.ssd_read()               : [Read] LBA 12 : 0x6304DBCA
[2025-08-07 14:19:30] Shell.ssd_read()               : read 13, for_script is True
[2025-08-07 14:19:31] Shell.read_output()            : function executed
[2025-08-07 14:19:31] Shell.read_output()            : {'0': '0xE5D75DCD'}
[2025-08-07 14:19:31] Shell.ssd_read()               : [Read] LBA 13 : 0xE5D75DCD
