[2025-08-07 14:15:36] Shell.ssd_write()              : [Write] Done - 12, 0x34C3A9BA
[2025-08-07 14:15:36] Shell.ssd_read()               : read 8, for_script is True
[2025-08-07 14:15:36] Shell.read_output()            : function executed
[2025-08-07 14:15:36] Shell.read_output()            : {'0': '0x06A40FA5'}
[2025-08-07 14:15:36] Shell.ssd_read()               : [Read] LBA 8 : 0x06A40FA5
[2025-08-07 14:15:36] Shell.ssd_read()               : read 9, for_script is True
[2025-08-07 14:15:36] Shell.read_output()            : function executed
[2025-08-07 14:15:36] Shell.read_output()            : {'0': '0xE6DAE3AC'}
[2025-08-07 14:15:36] Shell.ssd_read()               : [Read] LBA 9 : 0xE6DAE3AC
[2025-08-07 14:15:36] Shell.ssd_read()               : read 10, for_script is True
[2025-08-07 14:15:36] Shell.read_output()            : function executed
[2025-08-07 14:15:36] Shell.read_output()            : {'0': '0x7F2D35AD'}
[2025-08-07 14:15:36] Shell.ssd_read()               : [Read] LBA 10 : 0x7F2D35AD
[2025-08-07 14:15:36] Shell.ssd_read()               : read 11, for_script is True
[2025-08-07 14:15:37] Shell.read_output()            : function executed
[2025-08-07 14:15:37] Shell.read_output()            : {'0': '0x0E98E9AD'}
[2025-08-07 14:15:37] Shell.ssd_read()               : [Read] LBA 11 : 0x0E98E9AD
[2025-08-07 14:15:37] Shell.ssd_read()               : read 12, for_script is True
[2025-08-07 14:15:37] Shell.read_output()            : function executed
[2025-08-07 14:15:37] Shell.read_output()            : {'0': '0x34C3A9BA'}
[2025-08-07 14:15:37] Shell.ssd_read()               : [Read] LBA 12 : 0x34C3A9BA
[2025-08-07 14:15:37] Shell.ssd_write()              : read 9, content 0xC59DEDDC, for_script is True
[2025-08-07 14:15:37] Shell.ssd_write()              : [Write] Done - 9, 0xC59DEDDC
[2025-08-07 14:15:37] Shell.ssd_write()              : read 10, content 0x19A423DE, for_script is True
[2025-08-07 14:15:37] Shell.ssd_write()              : [Write] Done - 10, 0x19A423DE
[2025-08-07 14:15:37] Shell.ssd_write()              : read 11, content 0x8E3765E8, for_script is True
[2025-08-07 14:15:37] Shell.ssd_write()              : [Write] Done - 11, 0x8E3765E8
[2025-08-07 14:15:37] Shell.ssd_write()              : read 12, content 0xF58637ED, for_script is True
[2025-08-07 14:15:37] Shell.ssd_write()              : [Write] Done - 12, 0xF58637ED
[2025-08-07 14:15:37] Shell.ssd_write()              : read 13, content 0x9B057FFD, for_script is True
[2025-08-07 14:15:37] Shell.ssd_write()              : [Write] Done - 13, 0x9B057FFD
[2025-08-07 14:15:37] Shell.ssd_read()               : read 9, for_script is True
[2025-08-07 14:15:37] Shell.read_output()            : function executed
[2025-08-07 14:15:37] Shell.read_output()            : {'0': '0xC59DEDDC'}
[2025-08-07 14:15:37] Shell.ssd_read()               : [Read] LBA 9 : 0xC59DEDDC
[2025-08-07 14:15:37] Shell.ssd_read()               : read 10, for_script is True
