[2025-08-07 14:16:12] Shell.is_invalid_para_length() : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:12] Shell.run_command()            : run command with 1_FullWriteAndReadCompare
[2025-08-07 14:16:12] Shell.script_1()               : script1 executed
[2025-08-07 14:16:12] Shell.ssd_write()              : read 0, content 0x522CA600, for_script is True
[2025-08-07 14:16:12] Shell.ssd_write()              : [Write] Done - 0, 0x522CA600
[2025-08-07 14:16:12] Shell.ssd_write()              : read 1, content 0x5BD8BC13, for_script is True
[2025-08-07 14:16:12] Shell.ssd_write()              : [Write] Done - 1, 0x5BD8BC13
[2025-08-07 14:16:12] Shell.ssd_write()              : read 2, content 0x16F0A420, for_script is True
[2025-08-07 14:16:12] Shell.ssd_write()              : [Write] Done - 2, 0x16F0A420
[2025-08-07 14:16:12] Shell.ssd_write()              : read 3, content 0x31E2F421, for_script is True
[2025-08-07 14:16:12] Shell.ssd_write()              : [Write] Done - 3, 0x31E2F421
[2025-08-07 14:16:12] Shell.ssd_write()              : read 4, content 0x0C7E6227, for_script is True
[2025-08-07 14:16:12] Shell.ssd_write()              : [Write] Done - 4, 0x0C7E6227
[2025-08-07 14:16:12] Shell.ssd_read()               : read 0, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0x522CA600'}
[2025-08-07 14:16:13] Shell.ssd_read()               : [Read] LBA 0 : 0x522CA600
[2025-08-07 14:16:13] Shell.ssd_read()               : read 1, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0x5BD8BC13'}
[2025-08-07 14:16:13] Shell.ssd_read()               : [Read] LBA 1 : 0x5BD8BC13
[2025-08-07 14:16:13] Shell.ssd_read()               : read 2, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0x16F0A420'}
[2025-08-07 14:16:13] Shell.ssd_read()               : [Read] LBA 2 : 0x16F0A420
[2025-08-07 14:16:13] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0x31E2F421'}
[2025-08-07 14:16:13] Shell.ssd_read()               : [Read] LBA 3 : 0x31E2F421
[2025-08-07 14:16:13] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0x0C7E6227'}
[2025-08-07 14:16:13] Shell.ssd_read()               : [Read] LBA 4 : 0x0C7E6227
[2025-08-07 14:16:13] Shell.ssd_write()              : read 1, content 0x12564245, for_script is True
[2025-08-07 14:16:13] Shell.ssd_write()              : [Write] Done - 1, 0x12564245
[2025-08-07 14:16:13] Shell.ssd_write()              : read 2, content 0x76D87646, for_script is True
[2025-08-07 14:16:13] Shell.ssd_write()              : [Write] Done - 2, 0x76D87646
[2025-08-07 14:16:13] Shell.ssd_write()              : read 3, content 0xD6A72E4A, for_script is True
[2025-08-07 14:16:13] Shell.ssd_write()              : [Write] Done - 3, 0xD6A72E4A
[2025-08-07 14:16:13] Shell.ssd_write()              : read 4, content 0x1D9D7A4B, for_script is True
[2025-08-07 14:16:13] Shell.ssd_write()              : [Write] Done - 4, 0x1D9D7A4B
[2025-08-07 14:16:13] Shell.ssd_write()              : read 5, content 0xB9513656, for_script is True
[2025-08-07 14:16:13] Shell.ssd_write()              : [Write] Done - 5, 0xB9513656
[2025-08-07 14:16:13] Shell.ssd_read()               : read 1, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0x12564245'}
[2025-08-07 14:16:13] Shell.ssd_read()               : [Read] LBA 1 : 0x12564245
[2025-08-07 14:16:13] Shell.ssd_read()               : read 2, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0x76D87646'}
[2025-08-07 14:16:13] Shell.ssd_read()               : [Read] LBA 2 : 0x76D87646
[2025-08-07 14:16:13] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:13] Shell.read_output()            : function executed
[2025-08-07 14:16:13] Shell.read_output()            : {'0': '0xD6A72E4A'}
