[2025-08-07 14:16:42] Shell.read_output()            : {'0': '0xEE93ABE0'}
[2025-08-07 14:16:42] Shell.ssd_read()               : [Read] LBA 13 : 0xEE93ABE0
[2025-08-07 14:16:42] Shell.read_command()           : wait command, preset command: 1_FullWriteAndReadCompare
[2025-08-07 14:16:42] Shell.read_command()           : input command: 1_FullWriteAndReadCompare
[2025-08-07 14:16:42] Shell.valid_check()            : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:42] Shell.is_valid_format()        : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:42] Shell.is_invalid_command()     : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:42] Shell.is_invalid_command()     : return False
[2025-08-07 14:16:42] Shell.is_invalid_para_length() : command_args: ['1_FullWriteAndReadCompare']
[2025-08-07 14:16:42] Shell.run_command()            : run command with 1_FullWriteAndReadCompare
[2025-08-07 14:16:42] Shell.script_1()               : script1 executed
[2025-08-07 14:16:42] Shell.ssd_write()              : read 0, content 0xCDACAE02, for_script is True
[2025-08-07 14:16:42] Shell.ssd_write()              : [Write] Done - 0, 0xCDACAE02
[2025-08-07 14:16:42] Shell.ssd_write()              : read 1, content 0xB4D31C09, for_script is True
[2025-08-07 14:16:42] Shell.ssd_write()              : [Write] Done - 1, 0xB4D31C09
[2025-08-07 14:16:42] Shell.ssd_write()              : read 2, content 0x185A5209, for_script is True
[2025-08-07 14:16:42] Shell.ssd_write()              : [Write] Done - 2, 0x185A5209
[2025-08-07 14:16:42] Shell.ssd_write()              : read 3, content 0x7CB48E0B, for_script is True
[2025-08-07 14:16:42] Shell.ssd_write()              : [Write] Done - 3, 0x7CB48E0B
[2025-08-07 14:16:42] Shell.ssd_write()              : read 4, content 0x1663BC10, for_script is True
[2025-08-07 14:16:43] Shell.ssd_write()              : [Write] Done - 4, 0x1663BC10
[2025-08-07 14:16:43] Shell.ssd_read()               : read 0, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0xCDACAE02'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 0 : 0xCDACAE02
[2025-08-07 14:16:43] Shell.ssd_read()               : read 1, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0xB4D31C09'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 1 : 0xB4D31C09
[2025-08-07 14:16:43] Shell.ssd_read()               : read 2, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x185A5209'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 2 : 0x185A5209
[2025-08-07 14:16:43] Shell.ssd_read()               : read 3, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x7CB48E0B'}
[2025-08-07 14:16:43] Shell.ssd_read()               : [Read] LBA 3 : 0x7CB48E0B
[2025-08-07 14:16:43] Shell.ssd_read()               : read 4, for_script is True
[2025-08-07 14:16:43] Shell.read_output()            : function executed
[2025-08-07 14:16:43] Shell.read_output()            : {'0': '0x1663BC10'}
